model,best_params,pr_auc,accuracy,balanced_acc,precision,recall,f1,pr_auc_std,accuracy_std,balanced_acc_std,precision_std,recall_std,f1_std
GradientBoosting,"{'learning_rate': 0.1, 'max_depth': 6, 'max_iter': 200}",0.9365422103846951,0.931861111111111,0.8803035714285713,0.8933107233143527,0.7875,0.8369885916548272,0.003966279679279527,0.004105664560272982,0.007850717746337143,0.010268754060308426,0.015375508121684964,0.010581010924055737
RandomForest,"{'max_depth': 20, 'n_estimators': 400}",0.9261107404971327,0.9179166666666667,0.8974553571428572,0.7891098231644873,0.860625,0.8232735778665952,0.004808447465184315,0.00405688714821268,0.007736337941487465,0.007124758245859292,0.014900713070185605,0.009484349876208798
RandomForest,"{'max_depth': 20, 'n_estimators': 400}",0.9261107404971327,0.9179166666666667,0.8974553571428572,0.7891098231644873,0.860625,0.8232735778665952,0.004808447465184315,0.00405688714821268,0.007736337941487465,0.007124758245859292,0.014900713070185605,0.009484349876208798
SVM_RBF,"{'C': 1, 'gamma': 'scale'}",0.8863203463981568,0.87375,0.8930803571428572,0.651678243642592,0.9278749999999999,0.7655993772606245,0.007993963536083804,0.0021836937785592796,0.0045594325025049105,0.003959402107832317,0.010357666242933298,0.004464702797650738
LogisticRegression,"{'C': 0.01, 'l1_ratio': 0}",0.8561783584711234,0.8567222222222222,0.8809732142857143,0.6189235973109817,0.924625,0.7414786724309966,0.003958396706130343,0.001758138044271854,0.00277926795346237,0.003535675472592958,0.007359093014767534,0.0027169067324089298
GaussianNB,{'var_smoothing': 1e-09},0.821031075641215,0.7312222222222222,0.8272142857142859,0.4526089804862183,1.0,0.6231617186122705,0.004017557622059428,0.0030949480938626097,0.0019896094889116757,0.0028392527147626818,0.0,0.0026951574635437296
